Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,PG,TSLA,UNH,XOM
2019-02-28,0.002580692014342141,-0.06536734721036921,-0.03668553153492839,0.02239139161914634,-0.015187877158320682,0.040957640547429945,0.02765879393065723,0.056045945102992774,-0.09848200344293868,0.06608829613198851
2019-03-31,0.00838398049387909,0.08661535635575461,-0.025685300352605557,-0.0388142608021058,-0.04663522543467884,0.0005198699552275282,0.0359804998796377,-0.056015531110762504,0.03444924603094716,0.0012013649847063441
2019-04-30,-0.03064947746153511,0.06435820515768081,-0.05452064729493865,-0.010546865133446586,0.09634738795022407,0.03738596887834511,0.0661476659282969,-0.05466846539403912,-0.03288978158142397,-0.08096399104916371
2019-05-31,-0.04231530450269201,0.050204488660801835,0.012137608095510719,-0.04166662829157379,-0.011494736286627338,0.05487349197641512,0.008725087766800206,-0.06874581981821024,0.09374636405181178,-0.055464551652236495
2019-06-30,0.0719673653849241,-0.04149613525430361,-0.08846640851015121,0.02372821839233632,-0.004032599318546347,0.005662526717040817,-0.0017639963345543602,0.04836397969265502,-0.057977094230013,0.04401414346061233
2019-07-31,0.017523392299247507,-0.06732894195703065,0.06940504050645037,-0.08844287181366253,0.042246814432489205,-0.035723880415115136,0.05209952276088234,0.008293821614586167,0.011291863699256426,-0.009364761127103504
2019-08-31,-0.01929471082263536,-0.0007327101235636638,-0.014693626832329318,-0.009379406290356104,0.00534451770156856,0.038328108897668745,0.02786394623368397,-0.008491747934944997,-0.016011790315892387,-0.0029325805131994453
2019-09-30,0.034431061916593786,-0.056034903370569294,-0.011028920367387424,-0.003156358260019249,0.05039578148774426,-0.029472240915245435,0.027822530108659253,0.043712623752030944,-0.07277483393836047,0.016105259586553653
2019-10-31,0.08758404845635674,-0.10455684784601021,-0.010725031143751514,0.0005496611630454659,0.042183986927959584,-0.02653039294701199,-0.08343704372435269,0.049453325747016164,0.07507146651774355,-0.029593173150994724
2019-11-30,0.029140910885066214,-0.0331451968617966,-0.012032443083940685,0.00788401133980323,0.0070726268183547575,0.01056583566859335,-0.05722440696513299,0.007813074212730982,0.06748300745729441,-0.027557419470972618
2019-12-31,0.06005034452885451,-0.0860042681053026,-0.024279782818893057,0.03471353292709917,0.021733613460737468,-0.02178147510247707,-0.05189824949116123,0.0666987401179148,-0.01864352673740302,0.01941107122063132
2020-01-31,0.013726014246999235,-0.12133932511654032,0.00443812372473458,0.08619212186094326,0.014071531447827426,-0.013576664733044863,-0.05751084411635849,0.1103243832664128,-0.0990300844491922,0.06270474386821956
2020-02-29,-0.028143424904414044,-0.016841720972209658,0.01533389739810026,0.013794176087993812,-0.003974233733841148,0.030411768881207155,-0.023061801839588517,0.0015246309944570262,0.020723913537564115,-0.009767205449268623
2020-03-31,-0.030752306662094123,0.1620009950486379,-0.07362440110570963,-0.0009371630745892839,-0.04755007058178229,0.06542325422890183,-0.0007174796045726177,-0.11097469966791543,0.09668206991582329,-0.05955019849669946
2020-04-30,0.03525331089357145,-0.020383072864867013,0.008071321967135836,0.07116960576321599,-0.09843511750521461,-0.053286592544189215,-0.07923669689966664,0.063819217862219,-0.02406731329168707,0.09709533661948239
2020-05-31,0.036596565063750044,-0.05504447214271933,0.01863769705269501,-0.015539989804593875,0.004263519019795206,-0.020155817787960755,-0.030582871485563698,0.024002472118222963,0.03834664629377638,-0.0005237483274018466
