Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,PG,TSLA,UNH,XOM
2019-01-31,39.602439880371094,85.9365005493164,55.90888977050781,110.01536560058594,85.7509765625,97.89246368408203,81.4407958984375,20.468000411987305,242.56639099121094,53.39101028442383
2019-02-28,41.37570571899414,81.99150085449219,55.9416618347168,113.70756530761719,86.46351623535156,105.4652099609375,83.19673919677734,21.325332641601562,217.44790649414062,58.21965789794922
2019-03-31,45.390201568603516,89.0374984741211,58.44142532348633,116.32888793945312,83.8702621459961,111.02886962890625,87.83988952636719,18.657333374023438,222.81968688964844,59.52359390258789
2019-04-30,47.95184326171875,96.32599639892578,59.53736877441406,117.50221252441406,96.884521484375,122.94702911376953,90.5259017944336,15.912667274475098,210.03233337402344,59.14051818847656
2019-05-31,41.99560546875,88.75350189208984,54.9460334777832,109.88570404052734,88.46086883544922,116.86353302001953,87.49079132080078,12.343999862670898,217.89935302734375,52.732295989990234
2019-06-30,47.476844787597656,94.68150329589844,53.76914978027344,116.69752502441406,93.33639526367188,126.57693481445312,93.22090148925781,14.897333145141602,220.86473083496094,57.09870910644531
2019-07-31,51.10381317138672,93.33899688720703,60.49277114868164,109.10649871826172,97.52840423583984,128.75965881347656,101.00373077392578,16.107332229614258,225.39041137695312,55.40729522705078
2019-08-31,50.2625846862793,88.81449890136719,59.118751525878906,108.35396575927734,92.36611938476562,130.69578552246094,102.87765502929688,15.040666580200195,211.80416870117188,51.660430908203125
2019-09-30,53.92981719970703,86.79550170898438,60.63876724243164,109.2149887084961,98.94927978515625,131.80491638183594,106.42870330810547,16.058000564575195,197.6339569091797,53.26726531982422
2019-10-31,59.89900588989258,88.83300018310547,62.50886917114258,111.46037292480469,105.86933135986328,135.91937255859375,107.22050476074219,20.994667053222656,229.80908203125,50.97393035888672
2019-11-30,64.5444107055664,90.04000091552734,64.75785827636719,116.86506652832031,111.66622161865234,144.0015106201172,105.11068725585938,21.996000289916992,254.5178680419922,52.0162239074707
2019-12-31,70.92035675048828,92.39199829101562,66.51077270507812,123.98799896240234,118.14109802246094,150.013427734375,107.55634307861328,27.8886661529541,268.3775634765625,53.275978088378906
2020-01-31,74.75077056884766,100.43599700927734,71.14828491210938,126.53793334960938,112.89484405517578,161.93272399902344,107.95279693603516,43.371334075927734,248.72259521484375,47.427677154541016
2020-02-29,66.17675018310547,94.1875,66.50381469726562,115.03548431396484,99.03461456298828,154.5343017578125,98.08614349365234,44.53266525268555,232.75575256347656,39.83747863769531
2020-03-31,61.56017303466797,97.48600006103516,57.69953918457031,112.16989135742188,76.78999328613281,150.4327392578125,95.28813171386719,34.93333435058594,228.6478271484375,29.40570831298828
2020-04-30,71.12500762939453,123.69999694824219,66.87376403808594,128.34564208984375,82.52609252929688,170.940673828125,102.78652954101562,52.12533187866211,268.1554870605469,35.988494873046875
2020-05-31,77.17731475830078,122.11849975585938,71.1850357055664,128.124267578125,83.86185455322266,175.28103637695312,101.0860366821289,55.66666793823242,279.5063781738281,35.89681625366211
2020-06-30,88.55218505859375,137.9409942626953,70.41683197021484,121.13018035888672,81.0610122680664,194.6599884033203,104.26898193359375,71.98733520507812,271.5941467285156,35.30472946166992
2020-07-31,103.17496490478516,158.23399353027344,73.88789367675781,125.54882049560547,84.09602355957031,196.09481811523438,115.06246185302734,95.38400268554688,278.8040771484375,33.22054672241211
2020-08-31,125.51951599121094,172.54800415039062,80.91840362548828,133.01756286621094,87.18524169921875,216.24388122558594,121.38954162597656,166.10667419433594,287.8003845214844,32.15314483642578
2020-09-30,112.65045928955078,157.43649291992188,72.77803802490234,129.08969116210938,83.77405548095703,201.6697540283203,121.96870422363281,143.00332641601562,288.26507568359375,27.636892318725586
2020-10-31,105.89006805419922,151.8074951171875,80.25198364257812,118.88429260253906,86.10596466064453,194.13340759277344,120.9781723022461,129.34666442871094,282.1349792480469,26.26027488708496
2020-11-30,116.0018310546875,158.40199279785156,87.11912536621094,126.31969451904297,103.53091430664062,205.7931365966797,122.5400390625,189.1999969482422,310.9827575683594,31.436609268188477
2020-12-31,129.29257202148438,162.84649658203125,87.03173065185547,137.40809631347656,111.6022720336914,213.82029724121094,122.77827453613281,235.22332763671875,325.408203125,33.984195709228516
2021-01-31,128.581298828125,160.30999755859375,90.74214172363281,142.42837524414062,113.82133483886719,222.99139404296875,113.81595611572266,264.510009765625,309.5405578613281,36.9687385559082
2021-02-28,118.33181762695312,154.64649963378906,100.40300750732422,139.21371459960938,130.1864013671875,223.90968322753906,109.66139221191406,225.1666717529297,308.278564453125,45.58706283569336
2021-03-31,119.2003173828125,154.70399475097656,102.41960144042969,144.38833618164062,134.66250610351562,227.17611694335938,120.22537231445312,222.64332580566406,346.4833679199219,46.81121826171875
2021-04-30,128.28550720214844,173.37100219726562,116.86893463134766,142.96507263183594,136.86151123046875,242.9879913330078,119.19880676269531,236.47999572753906,371.3751220703125,47.99345397949219
2021-05-31,121.80748748779297,161.15350341796875,117.03529357910156,149.6208953857422,146.1422119140625,241.1345977783203,120.47640991210938,208.4066619873047,383.5928955078125,49.65386962890625
2021-06-30,133.87973022460938,172.00799560546875,121.25320434570312,145.63394165039062,138.40084838867188,261.6283874511719,120.54785919189453,226.56666564941406,374.2680969238281,53.660560607910156
2021-07-31,142.57957458496094,166.37950134277344,133.8036346435547,152.228759765625,135.8334503173828,275.15887451171875,127.86894989013672,229.06666564941406,385.2782287597656,48.97333908081055
